ROWID,MinimumLatitude,MaximumLatitude,MinimumLongitude,MaximumLongitude
169,38.8594360351562,38.9042091369629,-77.1426696777344,-77.0851516723633
222,38.8602638244629,38.9062042236328,-77.1429672241211,-77.0839462280273
308,38.860523223877,38.9038581848145,-77.1409606933594,-77.0852966308594
185,38.860523223877,38.9038581848145,-77.1409606933594,-77.0852966308594
223,38.8605766296387,38.8978729248047,-77.1334228515625,-77.0855102539062
173,38.8606300354004,38.9015579223633,-77.1429672241211,-77.0903930664062
278,38.8606300354004,38.9015579223633,-77.1429672241211,-77.0903930664062
305,38.8611946105957,38.9032516479492,-77.1420211791992,-77.0879974365234
201,38.8618965148926,38.9032897949219,-77.1421508789063,-77.0889739990234
316,38.8618965148926,38.9032897949219,-77.1421508789063,-77.0889739990234
224,38.8629112243652,38.9033699035645,-77.1388244628906,-77.0868453979492
184,38.8611946105957,38.9032516479492,-77.1420211791992,-77.0879974365234
322,38.8593673706055,38.9017143249512,-77.1458435058594,-77.0914459228516
340,38.8624649047852,38.9001770019531,-77.1431274414062,-77.0946807861328
343,38.8602638244629,38.9062042236328,-77.1429672241211,-77.0839462280273
344,38.8629112243652,38.9033699035645,-77.1388244628906,-77.0868453979492
347,38.8605766296387,38.8978729248047,-77.1334228515625,-77.0855102539062
188,38.861255645752,38.9001884460449,-77.142707824707,-77.0926971435547
302,38.861255645752,38.9001884460449,-77.142707824707,-77.0926971435547
181,38.8612937927246,38.9005508422852,-77.1423110961914,-77.0918884277344
150,38.861457824707,38.9005851745605,-77.137825012207,-77.0875549316406
328,38.8615303039551,38.8928070068359,-77.1381072998047,-77.0979309082031
225,38.8615303039551,38.8928070068359,-77.1381072998047,-77.0979309082031
75,38.8615531921387,38.8961563110352,-77.1336441040039,-77.0891876220703
170,38.8615531921387,38.8961563110352,-77.1336441040039,-77.0891876220703
298,38.8615531921387,38.8961563110352,-77.1336441040039,-77.0891876220703
207,38.8619956970215,38.8976440429687,-77.1328887939453,-77.0871047973633
331,38.8619956970215,38.8976440429687,-77.1328887939453,-77.0871047973633
262,38.8620071411133,38.8992691040039,-77.1394348144531,-77.0915679931641
143,38.8620071411133,38.8992691040039,-77.1394348144531,-77.0915679931641
186,38.8621406555176,38.8974990844727,-77.1333541870117,-77.0879364013672
313,38.8621406555176,38.8974990844727,-77.1333541870117,-77.0879364013672
283,38.8621940612793,38.9013061523437,-77.1384658813477,-77.0882186889648
182,38.8622055053711,38.8974342346191,-77.1402206420898,-77.0949630737305
280,38.8622055053711,38.8974342346191,-77.1402206420898,-77.0949630737305
200,38.86279296875,38.8999671936035,-77.1414260864258,-77.0936737060547
248,38.8629379272461,38.8960342407227,-77.135856628418,-77.0933456420898
88,38.8634033203125,38.8993721008301,-77.1407699584961,-77.0945663452148
202,38.8634033203125,38.8993721008301,-77.1407699584961,-77.0945663452148
310,38.8634033203125,38.8993721008301,-77.1407699584961,-77.0945663452148
212,38.8636665344238,38.8998336791992,-77.1340026855469,-77.0875473022461
203,38.8639030456543,38.9011459350586,-77.1398315429687,-77.0919876098633
317,38.8639030456543,38.9011459350586,-77.1398315429687,-77.0919876098633
74,38.8639297485352,38.8966102600098,-77.1337509155273,-77.0917739868164
141,38.8641548156738,38.8972854614258,-77.1344909667969,-77.0919342041016
80,38.8641548156738,38.8972854614258,-77.1344909667969,-77.0919342041016
266,38.8641548156738,38.8972854614258,-77.1344909667969,-77.0919342041016
147,38.8646430969238,38.8978424072266,-77.1355819702148,-77.0929260253906
86,38.8646430969238,38.8978424072266,-77.1355819702148,-77.0929260253906
269,38.8646430969238,38.8978424072266,-77.1355819702148,-77.0929260253906
42,38.8650207519531,38.8913421630859,-77.1364898681641,-77.1026763916016
221,38.8674507141113,38.8989486694336,-77.1338882446289,-77.0934295654297
339,38.8674507141113,38.8989486694336,-77.1338882446289,-77.0934295654297
346,38.8670120239258,38.8998374938965,-77.1351928710937,-77.0930252075195
427,38.8343505859375,38.8597564697266,-77.0932769775391,-77.060661315918
424,38.8347625732422,38.8601684570312,-77.0922012329102,-77.0595855712891
396,38.8405952453613,38.8660011291504,-77.0919647216797,-77.0593490600586
388,38.8394966125488,38.8649024963379,-77.0969619750977,-77.0643463134766
371,38.8387145996094,38.8641204833984,-77.0945434570313,-77.0619277954102
457,38.8336372375488,38.8590431213379,-77.099494934082,-77.0668716430664
435,38.8426513671875,38.8680572509766,-77.0982131958008,-77.0655899047852
401,38.8394927978516,38.8648986816406,-77.0981369018555,-77.0655136108398
398,38.8414306640625,38.8668365478516,-77.0936965942383,-77.0610733032227
397,38.840648651123,38.8660545349121,-77.0919876098633,-77.0593643188477
394,38.8404655456543,38.8658676147461,-77.0920333862305,-77.0594100952148
393,38.8404159545898,38.8658218383789,-77.0921325683594,-77.0595092773437
391,38.8408470153809,38.8662528991699,-77.0934143066406,-77.060791015625
390,38.8390769958496,38.8644790649414,-77.091796875,-77.0591735839844
387,38.8403701782227,38.8657760620117,-77.0932464599609,-77.0606231689453
385,38.8400764465332,38.8654823303223,-77.0932159423828,-77.0605926513672
384,38.8370742797852,38.862476348877,-77.0947875976562,-77.0621643066406
382,38.8386268615723,38.8640327453613,-77.0926742553711,-77.0600509643555
380,38.8392372131348,38.8646430969238,-77.0959854125977,-77.063362121582
379,38.8393325805664,38.8647346496582,-77.0958480834961,-77.0632247924805
378,38.8377799987793,38.8631820678711,-77.0942611694336,-77.061637878418
376,38.8381004333496,38.8635063171387,-77.0951156616211,-77.0624923706055
374,38.8389739990234,38.8643798828125,-77.0941314697266,-77.0615081787109
372,38.8389053344727,38.8643112182617,-77.094596862793,-77.0619735717773
403,38.8413391113281,38.8667449951172,-77.0924530029297,-77.0598297119141
454,38.8431129455566,38.8685684204102,-77.0893783569336,-77.0566864013672
402,38.8366851806641,38.8632392883301,-77.0987091064453,-77.0646133422852
418,38.8415832519531,38.8691253662109,-77.0957336425781,-77.0603637695313
452,38.8431777954102,38.8710823059082,-77.0940170288086,-77.0581893920898
392,38.8389091491699,38.8671531677246,-77.0940093994141,-77.0577392578125
375,38.8361282348633,38.8661155700684,-77.0967712402344,-77.0582656860352
443,38.840202331543,38.8702774047852,-77.0925827026367,-77.0539627075195
406,38.8383941650391,38.8687362670898,-77.0947189331055,-77.0557479858398
417,38.8388519287109,38.8714065551758,-77.0975570678711,-77.0557556152344
462,38.8452262878418,38.8706321716309,-77.0930786132812,-77.0604553222656
230,37.5601272583008,40.2369270324707,-78.7756958007812,-75.3366394042969
352,37.5601425170898,40.2369422912598,-78.7756805419922,-75.3366165161133
481,37.5602989196777,40.2370986938477,-78.7753295898437,-75.3362579345703
107,37.568416595459,40.2452163696289,-78.7734069824219,-75.3339385986328
231,37.568603515625,40.2454032897949,-78.7733459472656,-75.3338775634766
483,37.5687294006348,40.2455291748047,-78.7732162475586,-75.333740234375
353,37.5686111450195,40.2454109191895,-78.7731781005859,-75.3337020874023
489,37.5740814208984,40.2508811950684,-78.7633895874023,-75.3236465454102
236,37.5742988586426,40.2510986328125,-78.7633514404297,-75.323600769043
358,37.5741806030273,40.2509841918945,-78.7633361816406,-75.3235931396484
113,37.5744094848633,40.2512092590332,-78.7620849609375,-75.3223342895508
112,37.5613441467285,40.2381439208984,-78.7545013427734,-75.3153839111328
237,37.5607223510742,40.2375259399414,-78.7537078857422,-75.3146133422852
359,37.5607414245605,40.2375411987305,-78.7535552978516,-75.3144683837891
484,37.5608177185059,40.2376174926758,-78.7534484863281,-75.3143539428711
115,37.559986114502,40.2367858886719,-78.7394943237305,-75.3004379272461
360,37.5593338012695,40.2361335754395,-78.7392349243164,-75.3002090454102
238,37.5595741271973,40.2363739013672,-78.7392120361328,-75.300178527832
487,37.559139251709,40.2359390258789,-78.7391662597656,-75.3001480102539
240,37.5702476501465,40.2470474243164,-78.7380142211914,-75.2984619140625
